ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
538,Microsporidium chapmani,Protozoa,Microspora,Microsporea (Microsporida),Culiseta inornata,Diptera,Culicidae,,,,USA,,,,,,7164,,
539,Microsporidium chironomi,Protozoa,Microspora,Microsporea (Microsporida),Chironomus longipes,Diptera,Chironomidae,,fat body,,USSR,,,,,,7164,,
540,Microsporidium debaisieuxi,Protozoa,Microspora,Microsporea (Microsporida),Simulium maculatum,Diptera,Simuliidae,,fat body,,Belgium,,,,,,7164,,
541,Microsporidium debaisieuxi,Protozoa,Microspora,Microsporea (Microsporida),Simulium ornatum,Diptera,Simuliidae,,fat body,,Czechoslovakia,,,,,,7164,,
542,Microsporidium ephemerae,Protozoa,Microspora,Microsporea (Microsporida),Ephemera sp.,Ephemeroptera,Ephemeridae,,Gut,,Brazil,,,,,,7164,,
543,Microsporidium eriogastri,Protozoa,Microspora,Microsporea (Microsporida),Eriogaster lanestris,Lepidoptera,Lasiocampidae,,Hypodermis,,Czechoslovakia,,,,,,7164,,
544,Microsporidium francottei,Protozoa,Microspora,Microsporea (Microsporida),Ptychoptera contaminata,Diptera,Ptychopteridae,,Midgut,,Belgium,,,,,,7164,,
545,Microsporidium legeri,Protozoa,Microspora,Microsporea (Microsporida),Eupoecilia ambiguella,Lepidoptera,Phalaonidae,,Midgut (primarily); Malpighian tubules; silk glands; oenocytes; muscle; reproductive organs,,France; Czechoslovakia,,,,,,7164,,
546,Microsporidium leptophlebiae,Protozoa,Microspora,Microsporea (Microsporida),Leptophlebia vespertina,Ephemeroptera,Leptophlebiidae,,"Gut wall, Muscle, all organs (except fat).",,Czechoslovakia,,,,,,7164,,
547,Microsporidium longifilum,Protozoa,Microspora,Microsporea (Microsporida),Otiorhynchus fuscipes,Coleoptera,Curculionidae,,fat body,,France,,,,,,7164,,
548,Culicosporella lunata,Protozoa,Microspora,Microsporea (Microsporida),Culex pilosus,Diptera,Culicidae,Larva,fat body; Blood.,Field,USA,,,,,,7164,,Nearctic
549,Culicospora magna,Protozoa,Microspora,Microsporea (Microsporida),Culex pipiens,Diptera,Culicidae,,"fat body; Adipose tissue, oenocytes, oocytes, esophageal valve, hindgut",,USA,,,,,,7164,,
550,Culicospora magna,Protozoa,Microspora,Microsporea (Microsporida),Culex territans,Diptera,Culicidae,,fat body,,USA,,,,,,7164,,
551,Culicospora magna,Protozoa,Microspora,Microsporea (Microsporida),Anopheles stephensi,Diptera,Culicidae,,fat body,,USA,,,,,,7164,,
552,Culicospora magna,Protozoa,Microspora,Microsporea (Microsporida),Anopheles punctipennis,Diptera,Culicidae,,fat body,,USA,,,,,,7164,,
